Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_Children_0to6M,Tot_Children_SC_0to6M,Tot_Children_ST_0to6M,Tot_Children_BC_0to6M,Tot_Children_OC_0to6M,Tot_Children_7Mto3Y,Tot_Children_SC_7Mto3Y,Tot_Children_ST_7Mto3Y,Tot_Children_BC_7Mto3Y,Tot_Children_OC_7Mto3Y,Tot_Children_3Yto6Y,Tot_Children_SC_3Yto6Y,Tot_Children_ST_3Yto6Y,Tot_Children_BC_3Yto6Y,Tot_Children_OC_3Yto6Y
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401001,Achampet-I,4,0,0,4,0,45,3,1,40,1,26,2,4,20,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401002,Achampet-II,2,0,0,1,1,17,0,0,8,9,28,1,0,10,17
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401003,Achampet-III,5,0,0,5,0,33,0,0,32,1,30,0,1,26,3
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401004,Achampet-IV,1,0,0,0,1,31,4,3,18,6,25,5,3,15,2
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401005,Achampet-V,8,6,1,1,0,31,26,2,2,1,22,17,3,2,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401006,Achampet-VI,10,3,1,5,1,44,10,3,26,5,29,9,1,17,2
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401007,Achampet-VII,3,0,0,0,3,15,0,1,2,12,14,0,0,8,6
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401008,Achanpet-VIII (Plkapallyroad),5,0,1,3,1,46,3,5,35,3,32,2,7,20,3
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401009,Achampet-IX (Gandhinagar),2,0,0,2,0,26,0,0,26,0,26,0,0,26,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401010,Achampet-X (Tangapoor),4,3,1,0,0,31,15,0,7,9,20,7,2,10,1
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401011,Achampet-XI (Muslimarea),2,0,0,1,1,30,0,0,17,13,22,0,0,9,13
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401012,Achampet-XII (Sainagar),5,0,0,5,0,38,3,0,35,0,43,0,1,40,2
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401013,Achampet-XIII (Vinayaknagar),14,1,1,12,0,56,15,7,34,0,53,12,4,30,7
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401014,Achampet-XIV (Mahendranagar),10,1,2,5,2,60,3,5,32,20,49,2,2,27,18
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401015,Achampet-XV (Gokulnagar),0,0,0,0,0,22,0,0,20,2,17,0,1,15,1
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401016,Achampet-XVI,8,1,1,6,0,48,2,12,33,1,62,5,18,38,1
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401017,Achampet-XVII,14,4,2,6,2,43,5,9,21,8,30,5,3,17,5
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401018,Achampet-XVIII,10,4,1,5,0,46,17,5,23,1,36,14,1,18,3
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401019,Achampet-XiX,5,4,0,1,0,64,36,8,16,4,30,23,3,4,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401020,Achampet-XX(Sriramnagar),1,0,0,1,0,40,14,8,14,4,49,15,8,21,5
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401021,Achampet-XXI(Tangapoor),9,6,0,3,0,29,19,0,8,2,28,19,0,7,2
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Achampet,1401022,Dershangadda thanda,1,0,1,0,0,9,0,9,0,0,11,0,11,0,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Hazipoor,1401023,Shenkaraihguttathanda,3,0,3,0,0,12,0,12,0,0,10,0,10,0,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Hazipoor,1401024,Gumpanpally,8,2,6,0,0,49,7,41,0,1,20,1,19,0,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Hazipoor,1401025,Laxmapur  PN,1,0,0,1,0,19,1,3,15,0,17,0,1,16,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Hazipoor,1401026,Bolgatpally,5,0,2,3,0,10,0,6,4,0,15,0,10,5,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Hazipoor,1401027,Daokkuthanda,2,0,1,0,1,7,0,7,0,0,7,0,7,0,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Hazipoor,1401028,Rangapur-I,3,0,0,3,0,24,1,8,14,1,26,3,11,10,2
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Hazipoor,1401029,Rangapur-II,3,2,1,0,0,47,5,42,0,0,60,8,52,0,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Hazipoor,1401030,Dharugathanda,8,0,8,0,0,29,0,29,0,0,19,0,19,0,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Inole,1401031,Brahmnapally,1,0,0,1,0,19,0,1,17,1,17,0,3,14,0
2023,11,NAGARKURNOOL,ACHAMPETA (R) ,Inole,1401032,Chadhurubaithanda,1,1,0,0,0,18,0,18,0,0,12,0,12,0,0
